ACCT_CURR_AMOUNT,ORIG_CURR_CD,TRANSACTION_TYPE_DESC,TRANSACTION_TYPE_CATEGORY,ACCOUNT_KEY,ORIGINATOR_NAME,EXECUTION_LOCAL_DATE_TIME,FOREIGN_COUNTRY_CD
14940,CHF,Local currency monetary instrument deposits,TRANSACTIONS,GBP_44575770569567960749_T2,DANIEL MAURER,09-NOV-12 07.22.43.000000000 PM,CH
3580,MXN,Foreign currency cash withdrawals,TRANSACTIONS,GBP_73648548217681847827_T2,DENEEN SOUTH TRUST,15-NOV-12 08.06.03.000000000 AM,CH
1550,CHF,Local currency cash deposit,TRANSACTIONS,GBP_69717693384085785853_T2,DANIEL MAURER,18-NOV-12 03.32.58.000000000 PM,CH
7150,CAD,Foreign currency monetary instrument deposits,TRANSACTIONS,GBP_37912197760269793508_T2,KITTY USER LIMITED,18-NOV-12 10.35.38.000000000 AM,EU
14060,EUR,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_64107917606305547346_T2,DANIEL MAURER,21-NOV-12 11.22.33.000000000 AM,MX
10430,EUR,Local currency personal check deposits,TRANSACTIONS,GBP_77652295376756469003_T2,IHEART KIDS,22-NOV-12 12.28.33.000000000 PM,US
7200,EUR,Local currency personal check withdrawals,TRANSACTIONS,GBP_74030380986683672663_T2,IHEART KIDS,23-NOV-12 06.02.27.000000000 PM,CH
10730,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_58565123399372057307_T2,DANIEL MAURER,29-NOV-12 02.48.58.000000000 PM,CA
7500,MXN,Foreign currency monetary instrument deposits,TRANSACTIONS,GBP_27680488197677015987_T2,KITTY USER LIMITED,27-DEC-12 01.18.19.000000000 AM,CH
20000,USD,Local currency cash withdrawals,TRANSACTIONS,USD_86361916994643843225_T2,EMILY JOHN,27-DEC-12 12.00.00.000000000 AM,CH
100000,USD,Local currency personal check withdrawals,TRANSACTIONS,GBP_07587022436941655193_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
10000,CAD,Foreign currency cash deposit,TRANSACTIONS,GBP_57377706827659044752_T2,DANIEL MAURER,28-DEC-12 12.00.00.000000000 AM,EU
10000,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_71955574710605759816_T2,DANIEL MAURER,28-DEC-12 12.00.00.000000000 AM,MX
250500,CHF,Local currency cash deposit,TRANSACTIONS,GBP_67420145841892326097_T2,DANIEL MAURER,29-APR-12 12.00.00.000000000 AM,US
250500,CHF,Local currency cash deposit,TRANSACTIONS,GBP_76979641994220350069_T2,IHEART KIDS,30-APR-12 12.00.00.000000000 AM,CH
250500,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_54357155621574933245_T2,DANIEL MAURER,30-APR-12 12.00.00.000000000 AM,CA
250500,MXN,Card repayment by local currency cash,TRANSACTIONS,GBP_09182744750213665094_T2,LOUIS GOODWIN TRUST,27-MAY-12 12.00.00.000000000 AM,CH
5000,USD,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_51799386177917329829_T2,DANIEL MAURER,27-MAY-12 12.00.00.000000000 AM,CA
250500,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_02301780082181431700_T2,MATTHEW METCALFE ESSENTIALS,28-MAY-12 12.00.00.000000000 AM,CH
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_43560694724920605655_T2,DANIEL MAURER,28-MAY-12 12.00.00.000000000 AM,CH
110050,MXN,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_59162293015861647296_T2,DANIEL MAURER,15-JUN-12 12.00.00.000000000 AM,CH
8000,CHF,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_28715034936256741542_T2,KITTY USER LIMITED,27-JUN-12 12.00.00.000000000 AM,EU
250500,MXN,Loan repayment by local currency cash,TRANSACTIONS,USD_70430534408664325689_T2,EMILY JOHN,27-JUN-12 12.00.00.000000000 AM,MX
110005,CHF,Loan initial Funding by foreign currency cash,TRANSACTIONS,GBP_57558023337235768078_T2,DANIEL MAURER,14-JUL-12 12.00.00.000000000 AM,US
8000,CAD,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_06173656989850209717_T2,LOUIS GOODWIN TRUST,27-JUL-12 12.00.00.000000000 AM,CH
250500,EUR,Local currency monetary instrument deposits,TRANSACTIONS,GBP_43419026066231489231_T2,DANIEL MAURER,31-JUL-12 12.00.00.000000000 AM,CA
5000,EUR,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_84355061292239488806_T2,KLAUDIA FREYTAG TRUST,01-AUG-12 12.00.00.000000000 AM,CH
20000,EUR,Loan repayment by local currency cash,TRANSACTIONS,GBP_98275721400277684253_T2,DELLUCCI AMERICAN STUDIO S.R.L.,01-AUG-12 12.00.00.000000000 AM,CH
120000,CHF,Loan initial funding by local currency cash,TRANSACTIONS,AUD_36663524242574701013_T2,Name,15-AUG-12 12.00.00.000000000 AM,CH
5000,MXN,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_57095056849998283040_T2,DANIEL MAURER,28-AUG-12 12.00.00.000000000 AM,EU
25000,USD,Loan repayment by local currency cash,TRANSACTIONS,NZD_69409630566338825232_T2,DELLUCCI AMERICAN STUDIO S.R.L.,01-SEP-12 12.00.00.000000000 AM,MX
10000,USD,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_67034377441310905199_T2,DANIEL MAURER,01-SEP-12 12.00.00.000000000 AM,US
130000,CAD,Travelers check purchase,TRANSACTIONS,GBP_33782155654502003492_T2,KITTY USER LIMITED,15-SEP-12 12.00.00.000000000 AM,CH
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_26353808625309372335_T2,KITTY USER LIMITED,27-SEP-12 12.00.00.000000000 AM,CA
250500,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_98221333446497870157_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-SEP-12 12.00.00.000000000 AM,CH
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_69717693384085785853_T2,DANIEL MAURER,27-SEP-12 12.00.00.000000000 AM,CH
250500,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_23739627388209818729_T2,CYBER WOOD LIMITED,27-SEP-12 12.00.00.000000000 AM,CH
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_75676040944124653179_T2,IHEART KIDS,27-SEP-12 12.00.00.000000000 AM,EU
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_54859663947262522853_T2,DANIEL MAURER,27-SEP-12 12.00.00.000000000 AM,MX
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_34850730303032420185_T2,KITTY USER LIMITED,27-SEP-12 12.00.00.000000000 AM,US
8000,USD,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_41953644107719924676_T2,KITTY USER LIMITED,28-SEP-12 12.00.00.000000000 AM,CH
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_84854865004213024793_T2,KLAUDIA FREYTAG TRUST,30-SEP-12 12.00.00.000000000 AM,CA
13000,CHF,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_08600472325981718099_T2,LOUIS GOODWIN TRUST,01-OCT-12 12.00.00.000000000 AM,CH
20000,MXN,Loan repayment by local currency cash,TRANSACTIONS,GBP_88677927352312188364_T2,DELLUCCI AMERICAN STUDIO S.R.L.,01-OCT-12 12.00.00.000000000 AM,CA
9000,CHF,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_18692921964424022596_T2,LOUIS GOODWIN TRUST,01-OCT-12 12.00.00.000000000 AM,CH
13230,CAD,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_32782505434457810419_T2,KITTY USER LIMITED,06-OCT-12 04.14.08.000000000 PM,CH
10890,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_42098076876449132462_T2,KITTY USER LIMITED,11-OCT-12 11.20.07.000000000 AM,CH
8470,EUR,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_54445845425354906130_T2,DANIEL MAURER,11-OCT-12 05.38.52.000000000 AM,EU
7640,EUR,Local currency personal check withdrawals,TRANSACTIONS,GBP_59162293015861647296_T2,DANIEL MAURER,11-OCT-12 05.29.37.000000000 AM,MX
8790,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_76611316885919005619_T2,IHEART KIDS,11-OCT-12 05.41.32.000000000 AM,US
3840,MXN,Foreign currency cash withdrawals,TRANSACTIONS,GBP_07587022436941655193_T2,LOUIS GOODWIN TRUST,11-OCT-12 04.24.35.000000000 PM,CH
14100,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_71955574710605759816_T2,DANIEL MAURER,12-OCT-12 06.07.03.000000000 AM,CA
5320,USD,Travelers check deposits,TRANSACTIONS,GBP_16239453944491877758_T2,LOUIS GOODWIN TRUST,12-OCT-12 10.15.11.000000000 PM,CH
4140,CAD,Local currency personal check deposits,TRANSACTIONS,GBP_15757177812153171778_T2,LOUIS GOODWIN TRUST,12-OCT-12 07.23.01.000000000 AM,CH
7170,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_48132457952040762486_T2,DANIEL MAURER,13-OCT-12 06.18.31.000000000 PM,CH
3550,CHF,Foreign currency monetary instrument deposits,TRANSACTIONS,GBP_27140272134824240497_T2,KITTY USER LIMITED,14-OCT-12 11.35.28.000000000 PM,EU
14070,CHF,Foreign currency personal check deposits,TRANSACTIONS,GBP_87553395509607982436_T2,DELLUCCI AMERICAN STUDIO S.R.L.,14-OCT-12 01.03.30.000000000 AM,MX
130000,EUR,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_43270830712359162184_T2,DANIEL MAURER,16-OCT-12 12.00.00.000000000 AM,US
14670,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_22613653611922079361_T2,CYBER WOOD LIMITED,18-OCT-12 09.30.03.000000000 PM,CH
13950,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_21140776692312631474_T2,CYBER WOOD LIMITED,18-OCT-12 10.08.55.000000000 AM,CA
4790,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_49355334878791519397_T2,DANIEL MAURER,19-OCT-12 06.10.28.000000000 PM,CH
1950,USD,Local currency cash deposit,TRANSACTIONS,GBP_43511383099269667149_T2,DANIEL MAURER,20-OCT-12 07.50.58.000000000 AM,CH
12030,MXN,Local currency personal check withdrawals,TRANSACTIONS,CAD_89144936420835278215_T2,Name,20-OCT-12 09.12.58.000000000 AM,CH
13470,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_96465041799787107505_T2,DELLUCCI AMERICAN STUDIO S.R.L.,20-OCT-12 04.32.34.000000000 PM,EU
980,MXN,Local currency monetary instrument deposits,TRANSACTIONS,GBP_08661873223637910752_T2,LOUIS GOODWIN TRUST,20-OCT-12 03.34.52.000000000 AM,MX
3370,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_41456818755471763267_T2,KITTY USER LIMITED,21-OCT-12 12.55.21.000000000 PM,US
1540,CAD,Local currency cash deposit,TRANSACTIONS,GBP_74821121652008209563_T2,IHEART KIDS,21-OCT-12 02.12.23.000000000 AM,CH
12450,EUR,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_31649052025706615223_T2,KITTY USER LIMITED,24-OCT-12 02.05.10.000000000 PM,CA
6360,EUR,Travelers check deposits,TRANSACTIONS,GBP_98512941982579999096_T2,DELLUCCI AMERICAN STUDIO S.R.L.,26-OCT-12 03.33.35.000000000 AM,CH
6770,EUR,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_88767670338591322489_T2,DELLUCCI AMERICAN STUDIO S.R.L.,26-OCT-12 10.04.00.000000000 AM,CA
7950,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_60364572008252603045_T2,DANIEL MAURER,26-OCT-12 04.05.43.000000000 AM,CH
250500,MXN,Card repayment by local currency cash,TRANSACTIONS,GBP_97233670578068629763_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-OCT-12 12.00.00.000000000 AM,CH
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_14270150767571581432_T2,LOUIS GOODWIN TRUST,27-OCT-12 12.00.00.000000000 AM,CH
14660,USD,Local currency cash deposit,TRANSACTIONS,GBP_22613653611922079361_T2,CYBER WOOD LIMITED,27-OCT-12 10.35.01.000000000 AM,EU
250500,CAD,Foreign currency cash deposit,TRANSACTIONS,GBP_56134061398751874826_T2,DANIEL MAURER,27-OCT-12 12.00.00.000000000 AM,MX
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_95282272096263717770_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-OCT-12 12.00.00.000000000 AM,US
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_34526937983721996262_T2,KITTY USER LIMITED,27-OCT-12 12.00.00.000000000 AM,CH
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_49944764631099480288_T2,DANIEL MAURER,27-OCT-12 12.00.00.000000000 AM,CA
13480,EUR,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_22296457516358784630_T2,CYBER WOOD LIMITED,27-OCT-12 07.07.22.000000000 AM,CH
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_74307782894970354069_T2,IHEART KIDS,27-OCT-12 12.00.00.000000000 AM,CH
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_59197916261469530101_T2,DANIEL MAURER,27-OCT-12 12.00.00.000000000 AM,CH
8000,CHF,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_78398131478242644619_T2,IHEART KIDS,28-OCT-12 12.00.00.000000000 AM,EU
1500,USD,Foreign currency monetary instrument withdrawals,TRANSACTIONS,CAD_83207917251081386622_T2,Name,28-OCT-12 09.21.47.000000000 PM,MX
13460,MXN,Foreign currency cash deposit,TRANSACTIONS,EUR_22773816090357805577_T2,Name,28-OCT-12 02.38.39.000000000 PM,US
5150,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_13173081153909711647_T2,LOUIS GOODWIN TRUST,01-NOV-12 02.43.56.000000000 PM,CH
10960,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_57807254709893262091_T2,DANIEL MAURER,02-NOV-12 06.19.13.000000000 AM,CA
14520,CHF,Travelers check purchase,TRANSACTIONS,GBP_00468674691257373036_T2,MATTHEW METCALFE ESSENTIALS,02-NOV-12 09.23.49.000000000 PM,CH
2130,CAD,Foreign currency cash deposit,TRANSACTIONS,GBP_08600472325981718099_T2,LOUIS GOODWIN TRUST,03-NOV-12 01.14.57.000000000 PM,CH
6130,EUR,Foreign currency cash withdrawals,TRANSACTIONS,GBP_88767670338591322489_T2,DELLUCCI AMERICAN STUDIO S.R.L.,03-NOV-12 06.46.41.000000000 AM,CH
4940,EUR,Local currency monetary instrument deposits,TRANSACTIONS,GBP_51485497003616101709_T2,DANIEL MAURER,04-NOV-12 06.14.10.000000000 PM,EU
1950,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_91957304321750355089_T2,DELLUCCI AMERICAN STUDIO S.R.L.,07-NOV-12 02.53.43.000000000 AM,MX
5390,CHF,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_89733721662813182150_T2,DELLUCCI AMERICAN STUDIO S.R.L.,07-NOV-12 02.07.20.000000000 AM,US
10340,MXN,Local currency monetary instrument deposits,TRANSACTIONS,GBP_81652832775132340856_T2,PEARSON COR COAST LIMITED,07-NOV-12 08.29.50.000000000 AM,CH
14530,USD,Local currency monetary instrument withdrawals,TRANSACTIONS,EUR_22773816090357805577_T2,Name,08-NOV-12 06.07.59.000000000 PM,CA
3570,USD,Local currency personal check withdrawals,TRANSACTIONS,GBP_54445845425354906130_T2,DANIEL MAURER,08-NOV-12 09.44.33.000000000 AM,CH
2590,CAD,Foreign currency cash withdrawals,TRANSACTIONS,GBP_95282272096263717770_T2,DELLUCCI AMERICAN STUDIO S.R.L.,08-NOV-12 04.57.29.000000000 AM,CA
11820,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,CAD_87564090339406264850_T2,Name,09-NOV-12 12.40.33.000000000 PM,CH
300000,CHF,Local currency monetary instrument deposits,TRANSACTIONS,GBP_28301536648915826904_T2,KITTY USER LIMITED,09-NOV-12 12.00.00.000000000 AM,CH
600000,CHF,Local currency monetary instrument deposits,TRANSACTIONS,GBP_13197945453607984297_T2,LOUIS GOODWIN TRUST,09-NOV-12 12.00.00.000000000 AM,CH
5330,EUR,Local currency monetary instrument deposits,TRANSACTIONS,GBP_54859663947262522853_T2,DANIEL MAURER,09-NOV-12 08.29.29.000000000 AM,EU
390,MXN,Foreign currency personal check deposits,TRANSACTIONS,GBP_67420145841892326097_T2,DANIEL MAURER,10-NOV-12 08.03.52.000000000 PM,MX
3750,USD,Local currency cash withdrawals,TRANSACTIONS,AUD_77146186672350148399_T2,Name,10-NOV-12 10.25.11.000000000 PM,US
130,CHF,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_37450353451707577084_T2,KITTY USER LIMITED,10-NOV-12 04.45.07.000000000 AM,CH
11340,USD,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_68613865120025626990_T2,DANIEL MAURER,10-NOV-12 12.37.44.000000000 PM,CA
4770,MXN,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_28949154900212781946_T2,KITTY USER LIMITED,10-NOV-12 02.24.46.000000000 AM,CH
12060,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,EUR_66945735459239165013_T2,MATTHEW METCALFE ESSENTIALS,10-NOV-12 05.41.21.000000000 PM,CH
14410,MXN,Foreign currency cash withdrawals,TRANSACTIONS,GBP_13027522051685409528_T2,LOUIS GOODWIN TRUST,11-NOV-12 05.49.11.000000000 AM,CH
4400,CHF,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_31649052025706615223_T2,KITTY USER LIMITED,11-NOV-12 05.46.29.000000000 AM,EU
10930,CAD,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_56229040707696019858_T2,DANIEL MAURER,14-NOV-12 08.03.07.000000000 AM,MX
120000,EUR,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_79092764277846445783_T2,IHEART KIDS,14-NOV-12 12.00.00.000000000 AM,US
1120,EUR,Foreign currency monetary instrument deposits,TRANSACTIONS,GBP_07567608328379071616_T2,LOUIS GOODWIN TRUST,15-NOV-12 03.57.22.000000000 AM,CH
1600,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_71991288383965045913_T2,DANIEL MAURER,15-NOV-12 08.50.19.000000000 AM,CA
1410,CHF,Travelers check purchase,TRANSACTIONS,USD_14014982046745644893_T2,DELLUCCI AMERICAN STUDIO S.R.L.,15-NOV-12 02.35.36.000000000 PM,CH
6430,MXN,Local currency monetary instrument deposits,TRANSACTIONS,GBP_56134061398751874826_T2,DANIEL MAURER,15-NOV-12 06.00.16.000000000 AM,CH
7800,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_57095056849998283040_T2,DANIEL MAURER,16-NOV-12 12.21.20.000000000 AM,CH
10630,USD,Local currency monetary instrument deposits,TRANSACTIONS,GBP_90235403138696196879_T2,DELLUCCI AMERICAN STUDIO S.R.L.,16-NOV-12 10.03.39.000000000 PM,EU
13330,CAD,Foreign currency cash withdrawals,TRANSACTIONS,GBP_82536479464384577429_T2,KLAUDIA FREYTAG TRUST,16-NOV-12 02.33.14.000000000 PM,MX
270,CHF,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_16239453944491877758_T2,LOUIS GOODWIN TRUST,18-NOV-12 12.40.55.000000000 AM,US
13410,CHF,Local currency personal check withdrawals,TRANSACTIONS,GBP_17479645580810037851_T2,LOUIS GOODWIN TRUST,18-NOV-12 02.51.32.000000000 PM,CH
9320,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_70421262214702147992_T2,DANIEL MAURER,21-NOV-12 11.20.31.000000000 PM,CA
8070,EUR,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_49036566422194359430_T2,DANIEL MAURER,22-NOV-12 04.09.01.000000000 PM,CH
4360,MXN,Foreign currency cash deposit,TRANSACTIONS,EUR_93533275148560335771_T2,MATTHEW METCALFE ESSENTIALS,22-NOV-12 06.20.51.000000000 PM,CA
2930,USD,Travelers check deposits,TRANSACTIONS,GBP_19108694602963783328_T2,CYBER WOOD LIMITED,23-NOV-12 03.10.49.000000000 PM,CH
7200,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_57807254709893262091_T2,DANIEL MAURER,23-NOV-12 02.39.25.000000000 PM,CH
1350,USD,Travelers check purchase,TRANSACTIONS,GBP_59162293015861647296_T2,DANIEL MAURER,23-NOV-12 04.01.10.000000000 AM,CH
10060,MXN,Local currency personal check withdrawals,TRANSACTIONS,GBP_66519269502029844087_T2,DANIEL MAURER,23-NOV-12 07.15.42.000000000 PM,EU
1090,CHF,Travelers check purchase,TRANSACTIONS,GBP_43511383099269667149_T2,DANIEL MAURER,23-NOV-12 01.08.19.000000000 AM,MX
330,MXN,Local currency monetary instrument withdrawals,TRANSACTIONS,EUR_22773816090357805577_T2,Name,24-NOV-12 10.58.58.000000000 PM,US
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_48875678004003866452_T2,DANIEL MAURER,27-NOV-12 12.00.00.000000000 AM,CH
250500,CAD,Foreign currency cash deposit,TRANSACTIONS,GBP_84854865004213024793_T2,KLAUDIA FREYTAG TRUST,27-NOV-12 12.00.00.000000000 AM,CA
250500,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_87815261901317615996_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-NOV-12 12.00.00.000000000 AM,CH
250500,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_66519269502029844087_T2,DANIEL MAURER,27-NOV-12 12.00.00.000000000 AM,CH
250500,EUR,Foreign currency cash deposit,TRANSACTIONS,CAD_40801949775148726984_T2,Name,27-NOV-12 12.00.00.000000000 AM,CH
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_32782505434457810419_T2,KITTY USER LIMITED,27-NOV-12 12.00.00.000000000 AM,EU
250500,MXN,Local currency cash deposit,TRANSACTIONS,GBP_32782505434457810419_T2,KITTY USER LIMITED,28-NOV-12 12.00.00.000000000 AM,MX
8000,USD,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_44575770569567960749_T2,DANIEL MAURER,28-NOV-12 12.00.00.000000000 AM,US
6300,USD,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_24352427382800026380_T2,CYBER WOOD LIMITED,28-NOV-12 03.36.45.000000000 AM,CH
250500,CAD,Local currency cash deposit,TRANSACTIONS,GBP_77598382721949856917_T2,IHEART KIDS,29-NOV-12 12.00.00.000000000 AM,CA
250500,CHF,Foreign currency monetary instrument deposits,TRANSACTIONS,GBP_57810821910223570751_T2,DANIEL MAURER,29-NOV-12 12.00.00.000000000 AM,CH
11280,CHF,Local currency personal check withdrawals,TRANSACTIONS,USD_34695101437637104326_T2,EMILY JOHN,29-NOV-12 06.44.43.000000000 PM,CH
6340,CHF,Travelers check purchase,TRANSACTIONS,USD_45417152327853737935_T2,EMILY JOHN,29-NOV-12 06.03.40.000000000 PM,CH
250500,EUR,Foreign currency cash deposit,TRANSACTIONS,GBP_95349117366326003452_T2,DELLUCCI AMERICAN STUDIO S.R.L.,30-NOV-12 12.00.00.000000000 AM,EU
11940,MXN,Local currency monetary instrument deposits,TRANSACTIONS,EUR_65411046203539527624_T2,MATTHEW METCALFE ESSENTIALS,30-NOV-12 03.51.45.000000000 AM,MX
3140,USD,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_59197916261469530101_T2,DANIEL MAURER,30-NOV-12 11.25.30.000000000 AM,US
8010,CHF,Local currency monetary instrument withdrawals,TRANSACTIONS,GBP_97585606327551491100_T2,DELLUCCI AMERICAN STUDIO S.R.L.,01-DEC-12 11.39.00.000000000 PM,CH
700000,USD,Foreign currency cash deposit,TRANSACTIONS,JPY_89196903186177071682_T2,DELLUCCI AMERICAN STUDIO S.R.L.,08-DEC-12 12.35.10.000000000 PM,CA
400000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_44303379584327163675_T2,DANIEL MAURER,08-DEC-12 12.35.10.000000000 PM,CH
890,CHF,Foreign currency monetary instrument withdrawals,TRANSACTIONS,GBP_04830872987748667974_T2,LOUIS GOODWIN TRUST,12-DEC-12 12.59.27.000000000 PM,CA
12840,MXN,Foreign currency personal check deposits,TRANSACTIONS,GBP_37988961500234698254_T2,KITTY USER LIMITED,20-DEC-12 12.52.04.000000000 PM,CH
11040,CHF,Foreign currency personal check withdrawals,TRANSACTIONS,GBP_66093897582757655245_T2,DANIEL MAURER,23-DEC-12 10.20.40.000000000 AM,CH
150000,CAD,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_45189541999703293577_T2,DANIEL MAURER,24-DEC-12 12.00.00.000000000 AM,CH
121000,EUR,Card local currency ATM withdrawals,TRANSACTIONS,GBP_66425434075832353288_T2,DANIEL MAURER,24-DEC-12 12.00.00.000000000 AM,EU
100000,EUR,Card local currency ATM withdrawals,TRANSACTIONS,GBP_20778067471582680750_T2,CYBER WOOD LIMITED,24-DEC-12 12.00.00.000000000 AM,MX
8000,EUR,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_16894177064316831151_T2,LOUIS GOODWIN TRUST,25-DEC-12 12.00.00.000000000 AM,US
150000,CHF,Card local currency ATM withdrawals,TRANSACTIONS,GBP_13554238011704193331_T2,LOUIS GOODWIN TRUST,25-DEC-12 12.00.00.000000000 AM,CH
55000,MXN,Card foreign currency ATM withdrawals,TRANSACTIONS,CAD_89144936420835278215_T2,Name,25-DEC-12 12.00.00.000000000 AM,CA
